Listado de máquinas  excluídas CTT BAIRES A CF (I9801) CTT INTERIOR CF (I9803), Telefonogramas (I1492-I6900) y OPT (I0011-I0110);Region;provincia;Funcion equipo en STS;Server;Clie;Imp;Total de PC;Total de Impresoras;tipo server;Nombre del equipo;Direccion IP;Codigo STS;Observaciones
9 DE JULIO BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1262STM001;10.26.13.170;I1262;B6500ZAAS0001
9 DE JULIO BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP; ;10.26.13.171;I1262;
ALTA GRACIA CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I2160STM001;10.220.71.170;I2160;X5186ZAAW0001
ALTA GRACIA CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.71.171;I2160;
AÑATUYA SE;04 CUYO NOA;G;Serv;S;;;1;1;JP;I3068STM001;10.70.70.170;I3068;G3760ZAAW0001
AÑATUYA SE;04 CUYO NOA;G;Imp;;;I;;;JP; ;10.70.70.171;I3068;
APOSTOLES MS;03 CENTRO NEA;N;Serv;S;;;1;1;JP;I2624STM001;10.130.69.170;I2624;N3350ZAAW0002
APOSTOLES MS;03 CENTRO NEA;N;Imp;;;I;;;JP;;10.130.69.171;I2624;
ARROYO SECO SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I2885STM001;10.170.72.170;I2885;S2128ZAAW0001 rehab - robo
ARROYO SECO SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.72.171;I2885;
AVELLANEDA BA;METRO_Z9;B;Serv;S;;;1;1;JP;B1870ZAAu0001;10.245.83.170;I1137;
AVELLANEDA BA;METRO_Z9;B;Imp;;;I;;;JP;;10.245.83.172;I1137;
AYUDA 1 CF;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;1;1;JP;C1000ZAAu0417;10.30.136.74;I5270;
AYUDA 1 CF;08 OPERACIONES TELEGRAFICAS;C;Imp;;;I;;;JP;;no conectada;I5270;
AZUL BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1343STM001;10.26.4.170;I1343;B7300ZAAS0001
AZUL BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP; ;10.26.4.171;I1343;
BAHIA BLANCA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1381STM001;10.21.66.174;I1381;B8000ZAAW0028
BAHIA BLANCA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP; ;10.21.66.175;I1381;
BAHIA BLANCA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP; ;10.21.66.176;I1381;
BAHIA BLANCA I BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1781STM001;10.21.66.170;I1781;B8000ZAAW0029
BAIRESD 1 CF;METRO_Z1;C;Serv;S;;;2;1;JP;C1000ZAAu0087;10.30.81.131;I1509;Futura mudanza a SUC COMERCIAL CENTRO POR CIERRE EDIF CPI
BAIRESD 1 CF;METRO_Z1;C;Klie;;C;;;;JP;C1000ZAAu0086;10.30.81.132;I1509;
BAIRESD 1 CF;METRO_Z1;C;Imp;;;I;;;JP;;10.30.81.84;I1509;ip ST311458
BAIRESD CF;METRO_Z1;C;Serv;S;;;2;1;JP;C1000ZAAu0085;10.30.81.133;I1508;10.3.120.173 hasta el 19-set-2008
BAIRESD CF;METRO_Z1;C;Klie;;C;;;;JP;C1000ZAAu0083;10.30.81.135;I1508;Futura mudanza a SUC COMERCIAL CENTRO POR CIERRE EDIF CPI
BAIRESD CF;METRO_Z1;C;Imp;;;I;;;JP;;;I1508;
BAIRESI CF;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;1;1;JP;C1000ZAAu0474;10.30.136.227;I1491; 
BAIRESI2-TELECOMSPA;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;1;;OI;C1148ZABW0224;10.30.136.188;I9982;
BAIRESTF 1 CF;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;1;1;JP;C1000ZAAu0441;10.30.136.221;I5623;
BAIRESTF 1 CF;08 OPERACIONES TELEGRAFICAS;C;Imp;;;I;;;JP;;10.30.136.237;I5623;hp 9050
BARADERO CDD BA;08 OPERACIONES TELEGRAFICAS;B;Serv;1;;;;;JP;I6982STM001;10.26.50.1;I6982;SIN HABILITAR X FALTA PERSONAL - 
BARADERO CDD BA;08 OPERACIONES TELEGRAFICAS;B;imp;;;I;1;1;JP;;sin habilitar;I6982;HP 426
BARRANQUERAS-CDD CHO;03 CENTRO NEA;H;Serv;S;;;1;1;JP;H3503IRLU0001;10.80.69.170;I6289;
BARRANQUERAS-CDD CHO;03 CENTRO NEA;H;Imp;;;I;;;JP;;10.80.69.171;I6289;
BELL VILLE CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I2105STM001;10.222.67.170;I2105;X2550ZAAW0001
BELL VILLE CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.222.67.171;I2105;
BELLA VISTA CTS;03 CENTRO NEA;W;Serv;S;;;1;1;JP;I2328STM001;10.210.76.170;I2328;W3432ZAAW0002
BELLA VISTA CTS;03 CENTRO NEA;W;Imp;;;I;;;JP;;10.210.76.171;I2328;
BERISSO BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1179STM001;10.20.71.170;I1179;B1923ZAAW0001
BERISSO BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.20.71.171;I1179;
BRAGADO BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1287STM001;10.26.5.170;I1287;B6640ZAAS0001
BRAGADO BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP; ;10.26.5.171;I1287;
CALETA OLIVIA SC;06 SUR;Z;Serv;S;;;1;1;JP;I2831STM001;10.240.71.170;I2831;Z9011ZAAW0070
CALETA OLIVIA SC;06 SUR;Z;Imp;;;I;;;JP;;10.240.71.171;I2831;
CALL CENTER GIROS CF;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;1;;JP;C1148ZABU1224;10.30.134.203;I5997;ex C1104ZABW0003 EN ED SAN JUAN
CAMPANA CDD BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1447STM001;10.148.20.170;I1447;B2700ZAAW0015
CAMPANA CDD BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.148.20.171;I1447;
CAÑADA DE GOMEZ SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I2889STM001;10.170.67.170;I2889;S2500ZAAW0001
CAÑADA DE GOMEZ SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.67.171;I2889;
CASILDA SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I2898STM001;10.170.68.170;I2898;S2170ZAAW0002
CASILDA SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.68.171;I2898;
CATAMARCA1 C;04 CUYO NOA;K;Serv;S;;;1;1;JP;I1967STM001;10.100.66.170;I1967;K47002AHW0001
CATAMARCA1 C;04 CUYO NOA;K;Imp;;;I;;;JP;;10.100.66.173;I1967;
CD ELECTRONICAS CF;08 OPERACIONES TELEGRAFICAS;c;serv;s;;;1;;OS;B1842ZACS0161;10.1.10.53;I6991;en datacenter (SIE MINO ON LINE) (CDE y Tg ley 23789 y tcl+30)
