key,canonical,code,name,address,provinceCode
1349|JUAN+SAN,AV. SAN JUAN 1349,CORR1,"PUESTO DE CORRECCIÓN","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,CORR3,"PUESTO DE CORRECCIÓN 2","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I0011,"CIRCULARES 1 STS","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I0110,"CIRCULARES 2 STS","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I0210,"SUPERVISIÓN STS - OPT","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I1485,"CF - SIT 1","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I1486,"CF - SIT 2","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I1487,"CF - SIT 3","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I1491,"BAIRES I","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I5623,"BAIRESTF 1 CF","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I5928,"CF - CDD 34","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I5997,"CALL CENTER GIROS","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I6088,"CF - SIT 4","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I6271,"CTT BAIRES SUPERVISIÓN","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I6900,"TELEFONOGRAMAS","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I9982,"BAIRESI2 - TELECOMSPA","AV. SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,C2060,"SAN JUAN Y SAN JOSE","SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,O3000,"CALL CENTER-ATENCION AL CLIEN.","SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,O3002,"TELEFONOGRAMAS AV. SAN JUAN","SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,O3006,"SUCURSAL PAGO ELECTRONICO","SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,O3501,"SEDE AV. SAN JUAN","SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,O6014,"CTT METRO","SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I5908,"TELEG TRANSMISIÓN CENTRAL 1","AV SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I5301,"TELEG TRANSMISIÓN CENTRAL","AV SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I1492,"BAIRESTF","AV SAN JUAN 1349",C
1349|JUAN+SAN,AV. SAN JUAN 1349,I9981,"TELEG BAIRESI1-ANTEL","AV SAN JUAN 1349",C
1101|FAIR,AV. FAIR 1101,I5878,"SISTEMA DE GIROS Y TRANSFERENCIA CF","AV. FAIR 1101",B
1101|FAIR,AV. FAIR 1101,I9801,"BAIRES - A CF","AV. FAIR 1101",B
1101|FAIR,AV. FAIR 1101,B1563,"SEDE OPERATIVA CENTRAL","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O3503,"PLANTA MONTE GRANDE","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O5597,"ADMISION GDES. CLIENTES PLANTA","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O5996,"DEPENDENCIA ADM. FACTURACION M","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O5998,"ALMACEN CENTRAL","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O6003,"SUCURSAL VIRTUAL POLIZAS","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O6100,"CTP BUENOS AIRES","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O6127,"CTP-BUE GRANDES CLIENTES","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O6136,"CTP BUE-PAS","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O9000,"BACK OFFICE METRO","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O9990,"CAPACITACION","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O9995,"TABLAS PILOTO","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O9997,"TABLAS INTEGRACION","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O9998,"MESA DE AYUDA","FAIR 1101",B
1101|FAIR,AV. FAIR 1101,O9999,"ADMINISTRACION DE USUARIOS","FAIR 1101",B
NONE|BELGRANO+MANUEL,BELGRANO DOCTOR MANUEL,B4342,"12 DE OCTUBRE UP 1","BELGRANO DOCTOR MANUEL",B
NONE|BELGRANO+MANUEL,BELGRANO DOCTOR MANUEL,G0024,"FORRES","BELGRANO MANUEL",G
NONE|BELGRANO+MANUEL,BELGRANO DOCTOR MANUEL,G0048,"OJO DE AGUA","BELGRANO MANUEL",G
