NIS;Provincia;Tipo;Departamento;Dirección;Nombre normalizado;IPv4;Anotaciones;
CORR1;C;Server;PUESTO DE CORRECCIÓN;AV SAN JUAN 1349;C1000ZAAW0107;10.30.136.224;;
CORR3;C;Server;PUESTO DE CORRECCIÓN 2;AV SAN JUAN 1349;C1000ZAAW0108;10.30.136.225;;
I0011;C;Server;TELEG CIRCULARES 1 S.T.S.;AV SAN JUAN 1349;C1000ZAAW0201;10.30.136.68;;
I0110;C;Server;TELEG CIRCULARES 2 S.T.S.;AV SAN JUAN 1349;C1000ZAAW0235;10.30.136.229;;
I0210;C;Server;TELEG SUPERVISION STS - OPT;AV SAN JUAN 1349;C1000ZAAU0214;10.30.136.230;;
I0210;C;Impresora;TELEG SUPERVISION STS - OPT;AV SAN JUAN 1349;No aplica;10.30.136.236;;
I1004;B;Server;TELEG BS AS - VILLA ADELINA;PARANÁ 6001;I1004STM001;10.245.91.170;;
I1004;B;Impresora;TELEG BS AS - VILLA ADELINA;PARANÁ 6001;No aplica;10.245.91.171;;
I1007;B;Server;TELEG BS AS - DON TORCUATO;AV ANGEL T DE ALVEAR 1656;I1007STM001;10.245.123.170;;
I1007;B;Impresora;TELEG BS AS - DON TORCUATO;AV ANGEL T DE ALVEAR 1656;No aplica;10.245.123.171;;
I1012;B;Server;TELEG BS AS - GENERAL PACHECO;YRIGOYEN HIPOLITO 214;B1617FRPU0001;10.245.96.170;;
I1012;B;Impresora;TELEG BS AS - GENERAL PACHECO;YRIGOYEN HIPOLITO 214;No aplica;10.245.96.171;;
I1017;B;Server;TELEG BS AS - ESCOBAR;RIVADAVIA 302;I1017STM001;10.26.58.170;;
I1017;B;Impresora;TELEG BS AS - ESCOBAR;RIVADAVIA 302;No aplica;10.26.58.171;;
I1019;B;Server;TELEG BS AS - PILAR CDD;AV PTE J D PERON 1294;B1629ZAAU0001;10.26.37.170;;
I1019;B;Impresora;TELEG BS AS - PILAR CDD;AV PTE J D PERON 1294;No aplica;10.26.37.171;Sin conexión;
I1024;B;Server;TELEG BS AS - VICENTE LOPEZ CDD;PELLIZA 3780;I1024STM001;10.246.130.170;;
I1024;B;Impresora;TELEG BS AS - VICENTE LOPEZ CDD;PELLIZA 3780;No aplica;10.246.130.171;;
I1029;B;Server;TELEG BS AS - SAN ISIDRO CDD;ALSINA 98;B1642ZABU0001;10.138.66.170;;
I1029;B;Impresora;TELEG BS AS - SAN ISIDRO CDD;ALSINA 98;No aplica;10.138.66.171;;
I1032;B;Server;TELEG BS AS - SAN FERNANDO CDD;AV PTE J D PERON 724;B1646ZAAU0001;10.245.137.170;;
I1034;B;Server;TELEG BS AS - SAN MARTIN;INTE A M CAMPOS 1951;I1034STM001;10.246.80.170;;
I1034;B;Impresora;TELEG BS AS - SAN MARTIN;INTE A M CAMPOS 1951;No aplica;10.246.80.171;;
I1042;B;Server;TELEG BS AS - SAN MIGUEL;MANUEL BELGRANO 801;B1663NMBU0001;10.245.87.170;;
I1045;B;Server;TELEG BS AS - JOSE C. PAZ;ROQUE SAENZ PEÑA 5009;I1045STM001;10.245.168.170;;
I1047;B;Server;TELEG BS AS - MANUEL ALBERTI;AV PTE H YRIGOYEN 823;I1047STM001;10.245.174.170;;
I1056;B;Server;TELEG BS AS - EL PALOMAR;MECANICO ROSETTI 736;B1685GTBU0001;10.245.97.170;;
I1056;B;Impresora;TELEG BS AS - EL PALOMAR;MECANICO ROSETTI 736;No aplica;10.245.97.171;Sin conexión;
I1057;B;Server;TELEG BS AS - HURLINGHAM CDD;AV GDOR V VERGARA 3443;I1057STM001;10.245.135.170;;
I1064;B;Server;TELEG BS AS - RAMOS MEJIA;AV RIVADAVIA 14178;I1064STM001;10.245.65.170;;
I1064;B;Impresora;TELEG BS AS - RAMOS MEJIA;AV RIVADAVIA 14178;No aplica;10.245.65.172;;
I1066;B;Server;TELEG BS AS - ITUZAINGO;GRAL FELIX DE OLAZABAL 728;B1714ZAAW0001;10.245.111.170;;
I1066;B;Impresora;TELEG BS AS - ITUZAINGO;GRAL FELIX DE OLAZABAL 728;No aplica;10.245.111.171;;
I1070;B;Server;TELEG BS AS - MERLO;AV DEL LIBERTADOR 556;I1070STM001;10.245.75.170;;
I1070;B;Impresora;TELEG BS AS - MERLO;AV DEL LIBERTADOR 556;No aplica;10.245.75.171;;
I1076;B;Server;TELEG BS AS - MORENO;GRAHAM BELL 2200;B1744ZAAU0001;10.246.162.170;;
I1079;B;Server;TELEG BS AS - GENERAL RODRIGUEZ;AV DEL LIB G SAN MARTIN 233;I1079STM001;10.26.59.170;;
I1079;B;Impresora;TELEG BS AS - GENERAL RODRIGUEZ;AV DEL LIB G SAN MARTIN 233;No aplica;10.26.59.171;;
